id,name,genre,artists,album,popularity,duration_ms,explicit
7kr3xZk4yb3YSZ4VFtg2Qt,acoustic,acoustic,billy raffoul,1975,58,172199,False
1kJygfS4eoVziBBI93MSYp,acoustic,acoustic,billy raffoul,a few more hours at yyz,57,172202,False
6lynns69p4zTCRxmmiSY1x,here comes the sun - acoustic,acoustic,"molly hocking, bailey rushlow",here comes the sun (acoustic),42,144786,False
1RC9slv335IfLce5vt9KTW,acoustic #3,acoustic,the goo goo dolls,dizzy up the girl,46,116573,False
5o9L8xBuILoVjLECSBi7Vo,my love mine all mine - acoustic instrumental,acoustic,"guus dielissen, casper esmann",my love mine all mine (acoustic instrumental),33,133922,False
742ZnC1OgUGIScdzXEy5ui,acoustic,acoustic,ling tosite sigure,#4,14,238146,False
3vpJdk93GzerZnlou6Ua0z,beautiful things - acoustic,acoustic,benson boone,daydream,0,201248,False
42qGA2116mkpSAaxzQfjEf,landslide,acoustic,"guus dielissen, andrew gialanella",landslide,29,199222,False
0OHHcoyrWnkVukc911UeZd,acoustic,acoustic,sonido de agua en bambu,agua,15,129250,False
64zEnxASl3epPAIH4MsmSw,acoustic energy vibrations,acoustic,"healing solfeggio frequencies, harmony touch",528: mind & body healing,45,118331,False
1okbqCnEzl9GUddnjNkb19,little lies,acoustic,roses & frey,little lies,39,197851,False
5Ix5RkjIO1r3gL0NH2KpqK,acoustic,acoustic,the re-stoned,plasma,8,356870,False
0i49QlMEbbbax1gZe2qQzm,too good at goodbyes - acoustic,acoustic,sam smith,hear the pride,0,220095,False
5hzQ0nwJMFTXbNZmjioxJ1,the one (acoustic cover),acoustic,the moon loungers,the one (acoustic cover),25,241115,False
0vZAmULYfcNCsB5B2fNEvK,acoustic,acoustic,"lesfm, olexy",acoustic,5,156654,False
7F1CiKqrY44kh5cDqwHOnx,love is gone - acoustic,acoustic,"slander, dylan matthew",love is gone (acoustic),71,176971,False
1RnvWJ0pW0yhk25gQVWb3M,what if - acoustic sessions,acoustic,cody fry,acoustic sessions - live from nashville,25,245933,False
76QqtzlnTzVTEWhBRnDinW,acoustic,acoustic,mortal treason,a call to the martyrs,3,213693,False
72794Eag03xdy7TO0KNuid,cayendo (side a - acoustic),acoustic,frank ocean,cayendo (side a - acoustic),63,202200,False
1Mt7cf3bZnH6UmlMrBqrVN,one (acoustic cover),acoustic,girl in the distance,one (acoustic cover),27,237742,False
2RopJOhPaH9DikFrS0m7XJ,acoustic,acoustic,billy raffoul,feel good vibes 2020,16,172199,False
5y788ya4NvwhBznoDIcXwK,the sound of silence - acoustic version,acoustic,simon & garfunkel,"wednesday morning, 3 a.m.",71,185413,False
1YeJ3IF2Q3JCPtkZQQrM9Q,she will be loved - acoustic,acoustic,jonah baker,she will be loved (acoustic),31,226698,False
1QdtQPEokExDmlxw1AKOf1,acoustic,acoustic,puppe music,tranquil moods,10,62928,False
0ElpbbncWT9aS7mgoqEHbQ,where's my love - acoustic,acoustic,syml,where's my love,68,239880,False
0JBcTq9AY5ti8MkwDzEjyq,waiting for the storm,acoustic,acoustic levitation,something,13,199000,False
29eMplBkGSox4550xCKsK0,acoustic,acoustic,trainman,lofi beats for nyx mains to cry to,1,165564,False
7fY5bvnh1EDqF2SS4JnOKS,quiet - acoustic,acoustic,"hillside recording, diana trout",quiet,61,191666,False
0SjoUXTT8ulcAEKEK2twat,good vibes,acoustic,"acoustics, tyler swatie",good vibes,13,192000,False
0vn3gDJerc9a4EsLIkzFWb,acoustic,acoustic,kondor,peace of mind,1,168575,False
41DZa1qUamVuPPr7qrtbKw,whatcha say - acoustic,acoustic,jason derulo,heartbreaking pop,0,222520,False
7BEoayfBrFhmiGsHRi8XVw,"stillness, pt 1: moonshine",acoustic,acoustic quarter,summer rain,24,147333,False
7ygizeOO5dpeEsyAmYytNW,acoustic,acoustic,helios jazz club,magical love,1,267311,False
6Ea2uAyHX6Q8DnGKrMKHLq,inertia - acoustic,acoustic,ajr,inertia (acoustic),58,230990,True
1XneLLl94UIN5bLqBxihjv,waiting for the dawn,acoustic,acoustic levitation,mysteriousness,17,221333,False
0MQixY91NyA384ZyAmUzGF,acoustic,acoustic,billy raffoul,dinner with friends,3,172199,False
4qsRrKXNKBxZjKWHBrRdXs,acoustic levitation,acoustic,devin the dude,acoustic levitation,29,355961,True
35gFVyd6BvCmjpyuueMRkQ,we built this city - acoustic,acoustic,ben weighill,we built this city (acoustic),25,161777,False
5SCvmjq2tWZRxoQJ1DGLpK,acoustic,acoustic,david ai,just kidding,0,234700,False
5YABYtKx9qa56vBjlXDbmw,snooze (acoustic) (feat. justin bieber),acoustic,"sza, justin bieber",snooze (acoustic) (feat. justin bieber),65,190464,True
3l4bwhzSFGV2WSE475EOnh,all the small things - acoustic,acoustic,jay filson,all the small things (acoustic),18,166917,False
0xIDR5U9WwBb3hbqAyS3R9,acoustic,acoustic,u know & the drill,acoustic,2,109354,False
62ljuuXo0zrcrtJnnOhfxT,dear april (side a - acoustic),acoustic,frank ocean,dear april (side a - acoustic),57,231040,False
4TOYSDT4aaSoQKbxshBYbI,the way you make me feel - acoustic,acoustic,"matt johnson, john adams",the way you make me feel (acoustic),30,157037,False
0r5j1OxaqLkhxJOgA0kstj,acoustic,acoustic,xtravert,acoustic,0,153012,True
4l06WS1mNsV6atdeY9y54L,never comin' home - live acoustic,acoustic,bailey zimmerman,swipe left,0,198958,False
5lT24KdYcJXIEmQGi6DsGy,remember - acoustic,acoustic,thomas daniel,remember (acoustic),25,171710,False
24nJAVWOZGmoQVGhaZPqBT,acoustic,acoustic,mark s.d.ray,"neo soul guitar: pop music soul guitar, instrumental guitar solo",0,188750,False
6QPqf4WqwZkxM68bGipzvP,young blood - acoustic,acoustic,noah kahan,young blood (acoustic),56,200613,False
0TKCxM7SDITtm6joUNUU9x,bubbly,acoustic,acoustic guitar collective,bubbly,14,159389,False
6JZcfM5vr5O0KeGIAWiydu,afrobeat 2023 mixtape,afrobeat,dj funkybee,afrobeat 2023 mixtape,28,3601658,True
0S5qvbTPpWNXjnV8Uf4VZo,afrobeat heatwave,afrobeat,"lofi afrobeats, dj discoteca, afroobeatz, dj afrobeats, afro beat music",exotic afro discoteca - jungle boogie fiesta,2,264626,False
2kaH2Z8ezDUKf6fNw250rZ,unavailable (feat. musa keys),afrobeat,"davido, musa keys",timeless,68,169911,True
7EWRaOt6aJsuRfTwd2kmeQ,afrobeat,afrobeat,gbenga,let's give thanks,21,322856,False
6DdtXGnIE31tW37mLzy7WY,afrobeat chaka chaka,afrobeat,giuliano nicolis,afrobeat chaka chaka,30,180652,False
5ZtK8XAVnoaGdBXZWCEVCY,lonely at the top,afrobeat,asake,work of art,69,157714,False
6idDCtkAr9EdGEr5yHyp09,afrobeat,afrobeat,fassounds,summer tunes vol. 1,8,110400,False
16y5C7L7vgDUSNCyObG75L,afrobeat ki masti,afrobeat,karl lion,afrobeat ki masti,25,205090,False
3IQT2MM49GkXfHF9eemaw5,soweto,afrobeat,"victony, tempoe",outlaw,69,148000,True
2cSC2pA05BPYJNMgU95okZ,afrobeat,afrobeat,jujuba,jujuba,3,453493,False
2WRQhgXftM1G0NIXr7jNmc,afrobeats mix flight oso 149,afrobeat,osocity,afrobeats mix flight oso 149,26,2372414,True
0zVk3uuV9UhxAt48F3OL12,holy ghost,afrobeat,omah lay,holy ghost,68,186153,False
1rPUoNyCXVF2FOFHN0ceh3,afrobeat,afrobeat,entspannungsmusik meer,"einfach entspannen, vol. 2",4,176519,False
1iBWjQ9af9NnUd5xnQDB3k,charm,afrobeat,rema,rave & roses ultra,65,204750,True
7F8XEYR37oFDM826xheWyE,afrobeat,afrobeat,bür gür,have you lost your faith in god,0,317250,False
2fjC5oRlCcPDvKxDjstUbt,afrobeat renaissance - alternate drum mix,afrobeat,"robert glasper, derrick hodge",run the world: season 1 (music from the starz original series),20,53671,False
46gfN72BxmLvACx6Pve4XU,dull,afrobeat,asake,mr. money with the vibe,62,100173,False
5VE0wgk2gybTequLg1m4Zs,afrobeat,afrobeat,afrobeats,afrobeat,1,214368,False
5WTRTxIyiSrCtKYK8eLerN,afrobeats 2023,afrobeat,paul cleverlee,afrobeats 2023,32,224501,True
1DA2ADZs6O28y2rmdmpekw,2 sugar (feat. ayra starr),afrobeat,"wizkid, ayra starr","more love, less ego",57,187906,False
1aKDHWEZ8djoq99TSE1In2,afrobeat,afrobeat,negus beauvoir,afrobeat,0,189120,False
0XzY9p6zweueIjyNICwsgy,afrobeat - baile do japão,afrobeat,"mc neneco, dj netto, mc chara, mc gibi",afrobeat - baile do japão,0,160208,False
4cpxSBb2TRx8WJhQM1Jdpk,stubborn (with asake),afrobeat,"victony, asake",stubborn (with asake),67,176333,False
5E1bwFQDYXIHUhBqUXJXZb,afrobeat,afrobeat,royalty free music background,afrobeat,0,124799,False
0nWP3geWfIWT2U1F8TEa4V,afrobeat fiesta,afrobeat,"lofi afrobeats, dj discoteca, afrobeatsz",afro beach party - chill out music for afro party & discoteca,17,198430,False
4E8EciYYzTKF4REO51XQiS,dnd,afrobeat,rema,ravage,56,166000,False
0SFu2Ngw6OC9SR8dxYUBgd,afrobeat,afrobeat,african tribal orchestra,"sounds like africa (african beats, drums, sounds and music)",3,176519,False
2jzZgXpQqA8T9KhdFjdBgA,afrobeat si fueras tu - instrumental,afrobeat,jordan films rd,instruméntal jordan films,20,188003,False
0x3sDnom0itB72oEVrRE7v,ololufe (feat. wande coal),afrobeat,"wizkid, wande coal",s2,55,210194,False
4EGWRcWnB3uFjebmmscNzg,afrobeat,afrobeat,oneness of juju,african rhythms,1,237260,False
6WavyUNdnJk9SRW7ko9ack,reason (feat. russ),afrobeat,"asake, russ",mr. money with the vibe,53,131764,False
6lH52tnoBYPivmIQKGXTgl,afrobeat,afrobeat,ruankkj,afrobeat,11,144172,True
7xF6SSfTW1smhbyAlJ6ecd,afrobeat - radio mix,afrobeat,simon le grec,afrobeat,0,229403,False
0Q1bMs3xLQiDEeaneehdxv,remember,afrobeat,asake,work of art,63,182142,False
71JDBR0qGP77kVSiYTDMlX,afrobeat,afrobeat,"dj pasta, brucaliff",dancefloor jams,2,292866,False
6Fw7kOKInk90eGVrn5ll9t,afrobeat - club mix,afrobeat,simon le grec,afrobeat,0,363227,False
2Iv3GHM3xFKIPbYSnhJAXO,okay,afrobeat,adekunle gold,"afro pop, vol. 1",54,186299,True
0dGjhqDVHM3EynOae561ZC,afrobeat,afrobeat,marlon dasoul,mozart at the club,0,175229,False
3vgHcLsJHvQclAhdcGtNFe,afrobeat - playlist mix,afrobeat,simon le grec,afrobeat,0,169835,False
3YPtN5X0HxIzeRCHxfoXTy,mogbe,afrobeat,asake,work of art,57,178947,False
6ZZ4zoPdivz4JOUjkqpRNp,afrobeat,afrobeat,diomobeats,afrobeat,0,194867,False
4EPK9EsXU63lnRPbZwH1LV,afrobeat - dub mix,afrobeat,simon le grec,afrobeat,0,365853,False
5V9XFfvCG4WP5ZdISOLvaF,sability,afrobeat,ayra starr,sability,57,166558,False
0pLp0NaGBIh2N2tew3FVyN,afrobeat,afrobeat,african tribal orchestra,highlights of african tribal orchestra,0,176519,False
5WwQgwivZOfjHHOdZXnDjR,feel (afrobeats mix),afrobeat,"dualbox, aracy carvalho",feel (afrobeats mix),38,147878,False
3ceZIRUX8m8qFFcnEDkj2K,holiday,afrobeat,rema,rave & roses ultra,52,159100,False
0SC8vPETc4K5bE8kuATCli,afrobeat,afrobeat,"luigi vitale, gianpaolo rinaldi, luca colussi, daniele d'agaro, mirko cisilino, denis biason",kalimbata,0,448464,False
5CwdYVhbdeG3wycY3ukvM4,for my love - afrobeats mix,afrobeat,don & gene,for my love (afrobeats mix),39,132458,False
6R3zZakACTkEkqlQKmnnOB,good vibes infinitititi - african lofi,afrobeat,lofi afrobeats,good vibes infinitititi - african lofi,47,144000,False
0qmQoGGBl8kH9YDfBJIWmQ,afrobeat,afrobeat,dani le cross,4 dj: undiscovered weekly #17,0,300000,False
3MCIbI6HEtZBqspo8OVLiJ,alt-rock,alt-rock,eudo 97,demo,0,137622,True
1gewemPOUilb21s7CfMS55,bartender song (sittin' at a bar) - alt/rock mix,alt-rock,rehab,graffiti the world,57,229040,True
1o22EcqsCANhwYdaNOSdwS,tessellate,alt-rock,alt-j,an awesome wave,52,181400,False
4KENElVbH0KcipXaaqTeT8,"russian alt rock (car wash with papa) - ""приключение на автомойке""",alt-rock,the incomplete orchestra,tio's kid's jams (car wash ep),0,165119,False
0pCTr2E9CtulIwNprituKi,ms,alt-rock,alt-j,an awesome wave,45,238746,False
6XfI75jPN59vD2uF625ayx,under one roof alt rock,alt-rock,jack curtis dubowsky,under one roof (original motion picture soundtrack expanded edition),0,65336,False
6BVBkKpZK09NmifUMZqj1z,every other freckle,alt-rock,alt-j,this is all yours,47,216004,False
48H4RqPLjLB5MR3Cc1AdWv,cry of the lonely (psalm 10) - lofi alt rock mix,alt-rock,psalms remixed,cry of the lonely (psalm 10) [lofi alt rock mix],0,195399,False
24DMpa4roYV1VkykwCSNMG,panoramic view,alt-rock,awolnation,panoramic view,50,232733,False
3Sm5TYFgMXyXwgAcY2xweX,so into you,alt-rock,atlanta rhythm section,a rock and roll alternative,56,260866,False
3i4ColsuZEvjeLz63m0jPt,u&me,alt-rock,alt-j,the dream,43,198840,False
6azx6iv2R1DhwovSp4xd5v,rock steady,alt-rock,"alton ellis, the flames",mr soul of jamaica,42,160266,False
4wuu0v0TsGf22iYAgIcKlb,altered state of mind,alt-rock,milmine,so long and thanks,39,226000,False
4XSLXwwLskeFy1k6ec4tBg,altitude adjustment,alt-rock,midland,on the rocks,31,206040,False
6N19vudcjcPwsggs3EGgkN,m.s.s,alt-rock,red,m.s.s,33,205531,False
1AmwIgy0WYLJJ5e24aCFTm,"ve kamleya (from ""rocky aur rani kii prem kahaani"")",alt-rock,"pritam, arijit singh, shreya ghoshal, shadab faridi, altamash faridi, amitabh bhattacharya","ve kamleya (from ""rocky aur rani kii prem kahaani"")",49,246988,False
5uspnRBvXxg7Y0PPfpwH6p,savior,alt-rock,smile empty soul,savior,35,262425,False
1Ag58Qks3r3p4sAiUdA5xb,rockstar,alt-rock,alt blk era,rockstar,26,148557,False
13gDxn2tYUGS0sawL4kzWp,philadelphia,alt-rock,alt-j,the dream,33,218093,False
3WtldAA054sX3ZWCiFjX4O,ghostlove (1st movement),alt-rock,uncle morty and the empty forties,ghostlove: an alt-rock musical in 5 parts,25,65387,False
3PsHpAptfclBD9jVWBKqb1,bane,alt-rock,alt-j,the dream,29,310000,False
61Adh3QebIXwos3HqbUri1,ghostlove (2nd movement),alt-rock,uncle morty and the empty forties,ghostlove: an alt-rock musical in 5 parts,25,61672,False
17PtEAxSnO1aFWiMukDMWk,alternative trouble,alt-rock,lucki,alternative trap,34,198060,True
58qlWRmqnMIKBRu0OaiTQ0,ghostlove (3rd movement),alt-rock,uncle morty and the empty forties,ghostlove: an alt-rock musical in 5 parts,25,75046,False
3TY8GltNNtMpDS3YY6tJqo,"bloodflood, pt. ii",alt-rock,alt-j,this is all yours,30,319497,False
4iM7P0ApqrIAzJQzL9UFiC,ghostlogue,alt-rock,uncle morty and the empty forties,ghostlove: an alt-rock musical in 5 parts,25,97338,False
6LFZWSRtgzCXxNbQNOV8yz,chicago,alt-rock,alt-j,the dream,30,235386,False
0kH190Vf9KRHfFOhZCaQxv,ghosterture,alt-rock,uncle morty and the empty forties,ghostlove: an alt-rock musical in 5 parts,25,43839,False
3LvZJiw3K6loTGtfuSrLCM,losing my mind,alt-rock,alt-j,the dream,24,282000,False
2UkEUyOLpOHIZn5hAfgRpK,rock that shit! - slowed down,alt-rock,"anarchist sanctuary, asteria",rock that shit! (alternate mixes),32,121658,True
57gf8TTzlk1BE5R4C7gfz6,hunger of the pine,alt-rock,alt-j,hunger of the pine,26,298670,False
